contexts,query,answers,graph,depth,query_type,query_state,calculation_time
"If purple event is False, then grey event is True with probability of 39%. If purple event is False, then grey event is False with probability of 61%. If purple event is True, then grey event is True with probability of 3%. If purple event is True, then grey event is False with probability of 97%. purple event is true with probability of 55%. purple event is false with probability of 45%. ",What is the probability that grey event is True given that purple event is False?,0.3899999999999999,"('purple event',) -> grey event | () -> purple event",2,n0|n1|,tf,0.2645999999999482
"If red event is False, then black event is True with probability of 6%. If red event is False, then black event is False with probability of 94%. If red event is True, then black event is True with probability of 29%. If red event is True, then black event is False with probability of 71%. red event is true with probability of 67%. red event is false with probability of 33%. ",What is the probability that red event is False given that black event is False?,0.3947067056877464,"('red event',) -> black event | () -> red event",2,n1|n0|,ff,0.2501000000001419
"If orange event is False, then grey event is True with probability of 32%. If orange event is False, then grey event is False with probability of 68%. If orange event is True, then grey event is True with probability of 3%. If orange event is True, then grey event is False with probability of 97%. orange event is true with probability of 84%. orange event is false with probability of 16%. ",What is the probability that grey event is False given that orange event is False?,0.68,"('orange event',) -> grey event | () -> orange event",2,n0|n1|,ff,0.3718999999997585
"If blue event is False, then purple event is True with probability of 62%. If blue event is False, then purple event is False with probability of 38%. If blue event is True, then purple event is True with probability of 58%. If blue event is True, then purple event is False with probability of 42%. blue event is true with probability of 69%. blue event is false with probability of 31%. ",What is the probability that blue event is True given that purple event is True?,0.675557056043214,"('blue event',) -> purple event | () -> blue event",2,n1|n0|,tt,0.27469999999985
"If grey event is False, then pink event is True with probability of 13%. If grey event is False, then pink event is False with probability of 87%. If grey event is True, then pink event is True with probability of 9%. If grey event is True, then pink event is False with probability of 91%. grey event is true with probability of 85%. grey event is false with probability of 15%. ",What is the probability that pink event is True and grey event is True?,0.0765,"('grey event',) -> pink event | () -> grey event",2,n0n1||,tt,0.252800000000164
"If purple event is False, then yellow event is True with probability of 11%. If purple event is False, then yellow event is False with probability of 89%. If purple event is True, then yellow event is True with probability of 52%. If purple event is True, then yellow event is False with probability of 48%. purple event is true with probability of 58%. purple event is false with probability of 42%. ",What is the probability that yellow event is True and purple event is False?,0.0462,"('purple event',) -> yellow event | () -> purple event",2,n0n1||,tf,0.333099999999753
"If blue event is False, then white event is True with probability of 72%. If blue event is False, then white event is False with probability of 28%. If blue event is True, then white event is True with probability of 11%. If blue event is True, then white event is False with probability of 89%. blue event is true with probability of 95%. blue event is false with probability of 5%. ",What is the probability that blue event is False given that white event is True?,0.2562277580071174,"('blue event',) -> white event | () -> blue event",2,n1|n0|,ft,0.2663999999996669
"If pink event is False, then red event is True with probability of 12%. If pink event is False, then red event is False with probability of 88%. If pink event is True, then red event is True with probability of 29%. If pink event is True, then red event is False with probability of 71%. pink event is true with probability of 96%. pink event is false with probability of 4%. ",What is the probability that red event is True?,0.2832,"('pink event',) -> red event | () -> pink event",2,n0||,t,0.280800000000081
"If cyan event is False, then red event is True with probability of 46%. If cyan event is False, then red event is False with probability of 54%. If cyan event is True, then red event is True with probability of 99%. If cyan event is True, then red event is False with probability of 1%. cyan event is true with probability of 56%. cyan event is false with probability of 44%. ",What is the probability that cyan event is False given that red event is False?,0.9769736842105264,"('cyan event',) -> red event | () -> cyan event",2,n1|n0|,ff,0.2621999999998792
"If pink event is False, then red event is True with probability of 63%. If pink event is False, then red event is False with probability of 37%. If pink event is True, then red event is True with probability of 10%. If pink event is True, then red event is False with probability of 90%. pink event is true with probability of 73%. pink event is false with probability of 27%. ",What is the probability that red event is False and pink event is True?,0.657,"('pink event',) -> red event | () -> pink event",2,n0n1||,ft,0.2579000000002551
"If purple event is False, then yellow event is True with probability of 28%. If purple event is False, then yellow event is False with probability of 72%. If purple event is True, then yellow event is True with probability of 16%. If purple event is True, then yellow event is False with probability of 84%. purple event is true with probability of 8%. purple event is false with probability of 92%. ",What is the probability that purple event is False given that yellow event is False?,0.9078947368421052,"('purple event',) -> yellow event | () -> purple event",2,n1|n0|,ff,0.2437999999997941
"If white event is False, then pink event is True with probability of 68%. If white event is False, then pink event is False with probability of 32%. If white event is True, then pink event is True with probability of 13%. If white event is True, then pink event is False with probability of 87%. white event is true with probability of 15%. white event is false with probability of 85%. ",What is the probability that pink event is True given that white event is False?,0.68,"('white event',) -> pink event | () -> white event",2,n0|n1|,tf,0.321099999999852
"If white event is False, then yellow event is True with probability of 68%. If white event is False, then yellow event is False with probability of 32%. If white event is True, then yellow event is True with probability of 87%. If white event is True, then yellow event is False with probability of 13%. white event is true with probability of 80%. white event is false with probability of 20%. ",What is the probability that yellow event is True?,0.8320000000000001,"('white event',) -> yellow event | () -> white event",2,n0||,t,0.2587999999996704
"If grey event is False, then cyan event is True with probability of 46%. If grey event is False, then cyan event is False with probability of 54%. If grey event is True, then cyan event is True with probability of 63%. If grey event is True, then cyan event is False with probability of 37%. grey event is true with probability of 16%. grey event is false with probability of 84%. ",What is the probability that cyan event is False and grey event is False?,0.4536,"('grey event',) -> cyan event | () -> grey event",2,n0n1||,ff,0.2499999999998614
"If purple event is False, then yellow event is True with probability of 99%. If purple event is False, then yellow event is False with probability of 1%. If purple event is True, then yellow event is True with probability of 93%. If purple event is True, then yellow event is False with probability of 7%. purple event is true with probability of 63%. purple event is false with probability of 37%. ",What is the probability that yellow event is True given that purple event is True?,0.93,"('purple event',) -> yellow event | () -> purple event",2,n0|n1|,tt,0.2563999999996014
"If blue event is False, then purple event is True with probability of 18%. If blue event is False, then purple event is False with probability of 82%. If blue event is True, then purple event is True with probability of 25%. If blue event is True, then purple event is False with probability of 75%. blue event is true with probability of 15%. blue event is false with probability of 85%. ",What is the probability that purple event is True given that blue event is True?,0.25,"('blue event',) -> purple event | () -> blue event",2,n0|n1|,tt,0.2566999999999986
"If cyan event is False, then black event is True with probability of 71%. If cyan event is False, then black event is False with probability of 29%. If cyan event is True, then black event is True with probability of 25%. If cyan event is True, then black event is False with probability of 75%. cyan event is true with probability of 92%. cyan event is false with probability of 8%. ",What is the probability that black event is False and cyan event is True?,0.6900000000000001,"('cyan event',) -> black event | () -> cyan event",2,n0n1||,ft,0.2661000000001579
"If orange event is False, then white event is True with probability of 48%. If orange event is False, then white event is False with probability of 52%. If orange event is True, then white event is True with probability of 44%. If orange event is True, then white event is False with probability of 56%. orange event is true with probability of 19%. orange event is false with probability of 81%. ",What is the probability that orange event is True given that white event is True?,0.1769686706181202,"('orange event',) -> white event | () -> orange event",2,n1|n0|,tt,0.2425000000001453
"If yellow event is False, then black event is True with probability of 13%. If yellow event is False, then black event is False with probability of 87%. If yellow event is True, then black event is True with probability of 9%. If yellow event is True, then black event is False with probability of 91%. yellow event is true with probability of 85%. yellow event is false with probability of 15%. ",What is the probability that black event is True?,0.096,"('yellow event',) -> black event | () -> yellow event",2,n0||,t,0.2613000000000198
"If red event is False, then purple event is True with probability of 55%. If red event is False, then purple event is False with probability of 45%. If red event is True, then purple event is True with probability of 93%. If red event is True, then purple event is False with probability of 7%. red event is true with probability of 35%. red event is false with probability of 65%. ",What is the probability that purple event is False?,0.317,"('red event',) -> purple event | () -> red event",2,n0||,f,0.4662999999998085
"If black event is False, then purple event is True with probability of 1%. If black event is False, then purple event is False with probability of 99%. If black event is True, then purple event is True with probability of 54%. If black event is True, then purple event is False with probability of 46%. black event is true with probability of 95%. black event is false with probability of 5%. ",What is the probability that purple event is False and black event is False?,0.0495,"('black event',) -> purple event | () -> black event",2,n0n1||,ff,0.2573999999997411
"If black event is False, then purple event is True with probability of 62%. If black event is False, then purple event is False with probability of 38%. If black event is True, then purple event is True with probability of 18%. If black event is True, then purple event is False with probability of 82%. black event is true with probability of 55%. black event is false with probability of 45%. ",What is the probability that black event is True given that purple event is False?,0.72508038585209,"('black event',) -> purple event | () -> black event",2,n1|n0|,tf,0.2952999999998873
"If white event is False, then blue event is True with probability of 99%. If white event is False, then blue event is False with probability of 1%. If white event is True, then blue event is True with probability of 93%. If white event is True, then blue event is False with probability of 7%. white event is true with probability of 63%. white event is false with probability of 37%. ",What is the probability that blue event is True given that white event is True?,0.93,"('white event',) -> blue event | () -> white event",2,n0|n1|,tt,0.2563999999996014
